puzzle_id,answer,seed,puzzle_source,player_model,runs,mean_score,median_score,score_std_dev,p10_score,p25_score,p75_score,p90_score,gold_rate,silver_rate,bronze_rate,no_medal_rate,hexalink_rate,mean_hexalink_turn,completion_rate,mean_turns_used,mean_rows_completed,mean_columns_completed,mean_invalid_attempts,mean_hint_use,mean_valid_words,simulation_ms
ACCOUNTING#2,ACCOUNTING,910006,M7A3_EXISTING_M6_GRID,ORACLE,1,105,105,0,105,105,105,105,1,0,0,0,1,1,0,5,0,0,0,0,5,0
ADVENTURES#2,ADVENTURES,910007,M7A3_EXISTING_M6_GRID,CASUAL,100,88.03,87,13.705012722992045,72,78,97,106,0.18,0.77,0.05,0,0.55,2.0545454545454547,1,6,0.05,0.06,0.27,0.24,5.73,121.08124
ADVENTURES#2,ADVENTURES,910007,M7A3_EXISTING_M6_GRID,REGULAR,100,113.21,112,11.962310340685393,98,107,120,130,0.9,0.1,0,0,0.82,1.5365853658536586,1,6,0.57,0.19,0.12,0.29,5.88,297.563114
ADVENTURES#2,ADVENTURES,910007,M7A3_EXISTING_M6_GRID,STRONG,100,125.42,123,12.46990721130618,110,117,135,142,0.99,0.01,0,0,0.92,1.184782608695652,1,6,0.77,0.42,0.05,0.58,5.95,462.018795
ADVENTURES#2,ADVENTURES,910007,M7A3_EXISTING_M6_GRID,EXPERT,100,131.55,130,10.298940810499973,120,125,140,145,1,0,0,0,1,1,1,6,1.11,0.35,0.01,0.73,5.99,683.889528
ADVENTURES#2,ADVENTURES,910007,M7A3_EXISTING_M6_GRID,ORACLE,1,110,110,0,110,110,110,110,1,0,0,0,1,1,0,5,0,0,0,0,5,0
AGGRAVATED#2,AGGRAVATED,910008,M7A3_EXISTING_M6_GRID,CASUAL,100,89.06,86,14.220358148042047,72,80,95,109,0.24,0.69,0.07,0,0.41,1.5609756097560976,1,6,0.18,0.08,0.22,0.15,5.78,142.208087
AGGRAVATED#2,AGGRAVATED,910008,M7A3_EXISTING_M6_GRID,REGULAR,100,116.45,115,13.645863694160072,100,108,123,135,0.92,0.08,0,0,0.69,1.2318840579710144,1,6,0.61,0.27,0.07,0.32,5.93,299.202096
AGGRAVATED#2,AGGRAVATED,910008,M7A3_EXISTING_M6_GRID,STRONG,100,129.16,127,11.132553048323523,115,120,135,144,1,0,0,0,0.94,1.1702127659574468,1,6,0.95,0.35,0.05,0.45,5.95,476.033876
AGGRAVATED#2,AGGRAVATED,910008,M7A3_EXISTING_M6_GRID,EXPERT,100,140.59,142,11.520815592621554,125,130,150,155,1,0,0,0,0.99,1,1,6,1.18,0.57,0.01,0.67,5.99,707.392775
AGGRAVATED#2,AGGRAVATED,910008,M7A3_EXISTING_M6_GRID,ORACLE,1,110,110,0,110,110,110,110,1,0,0,0,1,1,0,5,0,0,0,0,5,0
