puzzle,answer,player_model,accessibility_system,runs,mean_score,median_score,gold_rate,silver_rate,bronze_rate,hexalink_rate,mean_played_word_familiarity,rare_word_dependency,mean_known_moves,mean_noticed_moves,gold_games,mean_gold_word_familiarity,median_gold_word_familiarity,least_familiar_word,gold_familiar_only_50,gold_low_dependency_25,gold_low_dependency_50,gold_low_dependency_75,gold_multiple_low_50,familiarity_source,source_version,source_package_version,source_revision,normalization_version,fallback_used
AGGRAVATED,AGGRAVATED,REGULAR,M8_HEURISTIC_BASELINE,500,114.198,115,0.896,0.104,0,0.698,0.5838414744673707,0.39955357142857145,21.726,22.777333333333335,448,0.5825124962518776,0.62514,anxiously,0.6004464285714286,0,0.39955357142857145,1,0.049107142857142856,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,AGGRAVATED,STRONG,M8_HEURISTIC_BASELINE,500,127.652,127,0.994,0.006,0,0.858,0.5953771812080485,0.5513078470824949,52.47933333333334,54.69833333333333,497,0.5952858589267583,0.5760000000000001,anxiously,0.448692152917505,0,0.5513078470824949,1,0.08651911468812877,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,AGGRAVATED,EXPERT,M8_HEURISTIC_BASELINE,500,138.918,140,0.998,0.002,0,0.998,0.6039798659517381,0.3687374749498998,109.23,110.71,499,0.6039977466442908,0.5994,anxiously,0.6312625250501002,0,0.3687374749498998,1,0.026052104208416832,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,AGGRAVATED,ORACLE,M8_HEURISTIC_BASELINE,1,110,110,1,0,0,1,,,,,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,AFTERTASTE,CASUAL,M8_HEURISTIC_BASELINE,500,84.368,85,0.106,0.78,0.114,0.486,0.5815343995786579,0.9433962264150944,5.850666666666666,6.410333333333333,53,0.5624436792452832,0.58374,equitation,0.05660377358490566,0.018867924528301886,0.9433962264150944,1,0.3018867924528302,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,AFTERTASTE,REGULAR,M8_HEURISTIC_BASELINE,500,110.208,110,0.874,0.126,0,0.784,0.5835163186440739,0.28832951945080093,22.25733333333333,23.085333333333335,437,0.5816671011149606,0.62514,epitomized,0.7116704805491991,0,0.28832951945080093,1,0.02517162471395881,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,AFTERTASTE,STRONG,M8_HEURISTIC_BASELINE,500,123.216,122,0.998,0.002,0,0.954,0.5986808053691246,0.3687374749498998,52.74466666666667,54.571,499,0.5986608403361315,0.5760000000000001,equitation,0.6312625250501002,0,0.3687374749498998,1,0.022044088176352707,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,AFTERTASTE,EXPERT,M8_HEURISTIC_BASELINE,500,132.184,130,1,0,0,1,0.6081980113636286,0.216,104.524,106.079,500,0.6081980113636286,0.5994,homogenize,0.784,0,0.216,1,0.006,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,AFTERTASTE,ORACLE,M8_HEURISTIC_BASELINE,1,110,110,1,0,0,1,,,,,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,AFFORDABLE,CASUAL,M8_HEURISTIC_BASELINE,500,92.644,93,0.34,0.612,0.048,0.65,0.5666427034579156,0.9823529411764705,5.488666666666667,6.195333333333333,170,0.5533559643916902,0.58374,journalese,0.01764705882352941,0,0.9823529411764705,1,0.4411764705882353,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
