puzzle,player_model,accessibility_system,gold_games,mean_gold_word_familiarity,median_gold_word_familiarity,least_familiar_word,gold_familiar_only_50,gold_low_dependency_25,gold_low_dependency_50,gold_low_dependency_75,gold_multiple_low_50,familiarity_source,source_version,source_package_version,source_revision,normalization_version,fallback_used
ACCOUNTING,ORACLE,M81_FREQUENCY_MODEL,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,CASUAL,M81_FREQUENCY_MODEL,10,0.16572705120205414,0.13922062268667307,gasohol,0,1,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,REGULAR,M81_FREQUENCY_MODEL,38,0.2940943629503172,0.2714262019871753,deciliter,0,1,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,STRONG,M81_FREQUENCY_MODEL,75,0.484531018580413,0.5066572043461646,avuncular,0,0.14666666666666667,1,1,0.8933333333333333,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,EXPERT,M81_FREQUENCY_MODEL,177,0.5995927013513084,0.6140579617856899,gasohol,0.10734463276836158,0.01694915254237288,0.8926553672316384,1,0.519774011299435,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,ORACLE,M81_FREQUENCY_MODEL,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,CASUAL,M81_FREQUENCY_MODEL,8,0.16408540182621253,0.14409968192282405,enlistee,0,1,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,REGULAR,M81_FREQUENCY_MODEL,43,0.26835339402397607,0.25131416349247254,penurious,0,0.9534883720930233,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,STRONG,M81_FREQUENCY_MODEL,103,0.4877563265478435,0.4799590321977648,anacin,0,0.11650485436893204,1,1,0.970873786407767,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,EXPERT,M81_FREQUENCY_MODEL,325,0.6362435192713317,0.6382686113033089,aggrieve,0.3323076923076923,0.003076923076923077,0.6676923076923077,1,0.2553846153846154,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,ORACLE,M81_FREQUENCY_MODEL,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,CASUAL,M81_FREQUENCY_MODEL,6,0.15817619168338176,0.1288103419704728,achoo,0,1,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,REGULAR,M81_FREQUENCY_MODEL,23,0.25753724562314156,0.23649606832137107,debarment,0,1,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,STRONG,M81_FREQUENCY_MODEL,61,0.469434590031557,0.48495448051312573,equable,0,0.26229508196721313,1,1,0.9672131147540983,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,EXPERT,M81_FREQUENCY_MODEL,254,0.5947895919265574,0.6158037968166964,anaerobe,0.11023622047244094,0,0.889763779527559,1,0.594488188976378,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,ORACLE,M81_FREQUENCY_MODEL,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,CASUAL,M81_FREQUENCY_MODEL,34,0.18163580450946354,0.1645141732973075,woolens,0,1,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,REGULAR,M81_FREQUENCY_MODEL,81,0.29282927236663675,0.2783878011244493,opaline,0,0.9382716049382716,1,1,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,STRONG,M81_FREQUENCY_MODEL,159,0.48868349296049957,0.49997308848190264,overate,0.006289308176100629,0.16981132075471697,0.9937106918238994,1,0.8930817610062893,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,EXPERT,M81_FREQUENCY_MODEL,336,0.6178293417964471,0.6348425007052776,coyer,0.25595238095238093,0.005952380952380952,0.7440476190476191,1,0.3392857142857143,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,ORACLE,M81_FREQUENCY_MODEL,,,,,,,,,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
